Centro Vaccinale	Codice Nsis	Fascia età	Totale Dosi Somministrate	Maschi	Femmine	Operatori Sanitari e Sociosanitari	Personale non sanitario	Ospiti strutture residenziali	Altro	Prima	Seconda
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	20-29	56	20	36	56	0	0	0	56	0
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	30-39	72	34	38	70	0	0	2	72	0
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	40-49	82	39	43	81	0	0	1	82	0
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	50-59	130	59	71	128	0	0	2	130	0
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	60-69	102	64	38	102	0	0	0	102	0
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	70-79	2	2	0	2	0	0	0	2	0
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	20-29	5	1	4	5	0	0	0	5	0
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	30-39	28	14	14	28	0	0	0	28	0
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	40-49	65	20	45	65	0	0	0	65	0
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	50-59	107	40	67	107	0	0	0	107	0
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	60-69	56	30	26	56	0	0	0	56	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	20-29	22	9	13	22	0	0	0	22	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	30-39	48	23	25	48	0	0	0	48	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	40-49	33	15	18	33	0	0	0	33	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	50-59	26	13	13	26	0	0	0	26	0
A.O.U. 'FEDERICO II' DI NAPOLI	150909	60-69	20	15	5	19	1	0	0	20	0
