Centro Vaccinale	Codice Nsis	Fascia età	Totale Dosi Somministrate	Maschi	Femmine	Operatori Sanitari e Sociosanitari	Personale non sanitario	Ospiti strutture residenziali	Altro	Prima	Seconda	
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	20-29	49	25	24	47	0	0	2	49	0	
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	30-39	90	50	40	82	0	0	8	90	0	
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	40-49	112	44	68	96	0	0	16	112	0	
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	50-59	111	57	54	97	1	0	13	111	0	
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	60-69	141	87	54	136	2	0	3	141	0	
A.O. OO.RR. SANGIOVANNI DI DIO E RUGGI	150904	70-79	2	2	0	2	0	0	0	2	0	
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	20-29	3	3	0	3	0	0	0	3	0	
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	30-39	17	12	5	12	4	0	1	17	0	
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	40-49	17	9	8	14	1	0	2	17	0	
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	50-59	14	7	7	9	4	0	1	14	0	
A.O. SANT'ANNA E SAN SEBASTIANO  CASERTA	150907	60-69	9	6	3	7	2	0	0	9	0	
A.O.U. 'FEDERICO II' DI NAPOLI	150909	20-29	34	16	18	31	0	0	3	34	0	
A.O.U. 'FEDERICO II' DI NAPOLI	150909	30-39	87	44	43	84	0	0	3	87	0	
A.O.U. 'FEDERICO II' DI NAPOLI	150909	40-49	37	20	17	36	0	0	1	37	0	
A.O.U. 'FEDERICO II' DI NAPOLI	150909	50-59	43	32	11	43	0	0	0	43	0	
A.O.U. 'FEDERICO II' DI NAPOLI	150909	60-69	31	23	8	31	0	0	0	31	0	
A.O.U. 'FEDERICO II' DI NAPOLI	150909	70-79	1	1	0	1	0	0	0	1	0	
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	20-29	25	6	19	24	1	0	0	25	0	
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	30-39	69	33	36	65	4	0	0	69	0	
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	40-49	67	37	30	62	4	0	1	67	0	
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	50-59	118	61	57	101	16	0	1	118	0	
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	60-69	72	50	22	56	16	0	0	72	0	
AZIENDA OSPEDALIERA 'A. CARDARELLI'	150901	70-79	1	1	0	1	0	0	0	1	0	
AZIENDA OSPEDALIERA S. G. MOSCATI	150905	20-29	14	3	11	11	0	0	3	14	0	
AZIENDA OSPEDALIERA S. G. MOSCATI	150905	30-39	44	21	23	35	0	0	9	44	0	
AZIENDA OSPEDALIERA S. G. MOSCATI	150905	40-49	51	18	33	45	1	0	5	51	0	
